"Query","Count","Shape","Top Click","User Locations"
"parking","10377","N/A","http://about.curtin.edu.au/getting-here-and-parking.cfm/","Perth, Bentley, Unknown, Sydney, Adelaide, Melbourne"
"handbook","6182","N/A","http://handbook.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Daceyville, Adelaide"
"map","4424","N/A","http://properties.curtin.edu.au/maps/","Perth, Bentley, Unknown, Sydney, Adelaide, Eastwood"
"unit outline","3179","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Unknown, Bentley, Sydney, Beijing, Singapore"
"timetable","3174","N/A","http://timetable.student.curtin.edu.au/jsp/criteriaEntry.jsf","Bentley, Perth, Unknown, Brisbane, Kuala Lumpur, Melbourne"
"fees","3088","N/A","http://fees.curtin.edu.au/","Unknown, Perth, Bentley, Sydney, Oberstaufen, Kuala Lumpur"
"cits","3019","N/A","http://cits.curtin.edu.au/","Bentley, Perth, Unknown, Melbourne, Adelaide, Warnbro"
"graduation","2767","N/A","http://graduations.curtin.edu.au/","Perth, Unknown, Bentley, Sydney, Kuala Lumpur, Central District"
"blackboard","2692","N/A","http://otl.curtin.edu.au/using_blackboard/","Perth, Unknown, Bentley, Sydney, Melbourne, Adelaide"
"nursing","2682","N/A","http://healthsciences.curtin.edu.au/teaching/nursing-midwifery_home.cfm","Perth, Unknown, Bentley, Sydney, London, Lane Cove"
"psychology","2506","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/psychology","Perth, Unknown, Christchurch, Bentley, Sydney, Adelaide"
"physiotherapy","2219","N/A","http://healthsciences.curtin.edu.au/teaching/physiotherapy_home.cfm","Perth, Unknown, Bentley, Central District, Melbourne, Sydney"
"parking permits","2192","N/A","http://properties.curtin.edu.au/parking/permit_apply.cfm","Perth, Bentley, Unknown, Adelaide, Sydney, Melbourne"
"unit outlines","2121","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Bentley, Unknown, Sydney, Manning, Melbourne"
"humanities","2105","N/A","http://humanities.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Concord, Ourimbah"
"guild","2027","N/A","http://www.guild.curtin.edu.au/index.php/en/","Perth, Bentley, Unknown, Eastwood, Adelaide, Melbourne"
"unit outline builder","1987","N/A","http://otl.curtin.edu.au/course_quality/unit_outline_builder/unit_outline_builder.cfm","Bentley, Perth, Unknown, Sydney, Adelaide, Brisbane"
"engineering","1953","N/A","http://scieng.curtin.edu.au/","Perth, Unknown, Bentley, Adelaide, Colombo, Sydney"
"calendar","1933","N/A","http://students.curtin.edu.au/administration/dates/index.cfm","Perth, Unknown, Bentley, Sydney, Brisbane, Yarramalong"
"library","1927","N/A","http://library.curtin.edu.au/","Bentley, Perth, Unknown, Eastwood, Dalkeith, Sydney"
"orientation","1911","N/A","http://orientation.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Revesby, Brisbane"
"rpl","1807","N/A","http://rpl.students.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Melbourne, Eastwood"
"sonia","1787","N/A","http://healthsciences.curtin.edu.au/future_students/sonia.cfm","Perth, Unknown, Bentley, Adelaide, Eastwood, Belmont"
"pharmacy","1756","N/A","http://healthsciences.curtin.edu.au/teaching/pharmacy_home.cfm","Perth, Unknown, Bentley, Melbourne, Sydney, Newcastle"
"plan your timetable","1741","N/A","http://timetable.student.curtin.edu.au/jsp/criteriaEntry.jsf","Bentley, Perth, Unknown, Sydney, Nanjing, Adelaide"
"student central","1680","N/A","https://studentcentral.curtin.edu.au/","Bentley, Perth, Unknown, Eastwood, Brisbane, Sydney"
"bookshop","1668","N/A","http://www.bookshop.curtin.edu.au/","Perth, Bentley, Unknown, Adelaide, Melbourne, Sydney"
"units","1635","N/A","http://handbook.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Copenhagen, Rockhampton"
"campus map","1600","N/A","http://properties.curtin.edu.au/maps/","Bentley, Perth, Unknown, Sydney, Brisbane, Eastwood"
"academic calendar","1553","N/A","http://students.curtin.edu.au/administration/dates/index.cfm","Perth, Unknown, Bentley, Adelaide, Sydney, Brisbane"
"scholarships","1518","N/A","http://scholarships.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Melbourne, Mumbai"
"architecture","1512","N/A","http://humanities.curtin.edu.au/schools/BE/architecture_interiorarchitecture/","Perth, Unknown, Garlenda, Bentley, Den Haag, Greenbank"
"jobs","1479","N/A","http://futurestaff.curtin.edu.au/","Perth, Unknown, Bentley, Sydney, New Lambton, London"
"uniready","1379","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/uniready-enabling","Perth, Unknown, Bentley, Maryborough, Yarramalong, Canberra"
"gym","1329","N/A","http://recreation.curtin.edu.au/","Perth, Unknown, Bentley, Eastwood, Adelaide, Brisbane"
"health sciences","1303","N/A","http://healthsciences.curtin.edu.au/","Perth, Unknown, Bentley, Sydney, Mansfield, Kotara"
"health science","1285","N/A","http://healthsciences.curtin.edu.au/","Perth, Unknown, Bentley, Gold Coast, Melbourne, Yarramalong"
"mba","1266","N/A","http://business.curtin.edu.au/","Unknown, Perth, Sydney, Bentley, Calgary, New Delhi"
"law","1232","N/A","http://business.curtin.edu.au/schools/law/","Perth, Unknown, Bentley, Brisbane, Sydney, Melbourne"
"oasis","1224","N/A","https://oasis.curtin.edu.au/Auth/LogOn","Bentley, Perth, Unknown, Sydney, Canberra, Adelaide"
"accommodation","1224","N/A","http://international.curtin.edu.au/accommodation.htm","Unknown, Perth, Bentley, Central District, Newcastle, Kuala Lumpur"
"geology","1129","N/A","http://geology.curtin.edu.au/","Unknown, Perth, Bentley, Melbourne, Sydney, Bundaberg"
"forms","1101","N/A","https://hr.curtin.edu.au/forms.cfm","Bentley, Perth, Unknown, Sydney, Singapore, Goran"
"human resources","1080","N/A","https://hr.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Daceyville, Glenelg"
"search","1077","N/A","http://handbook.curtin.edu.au/","Unknown, Bentley, Perth, Wynberg, Kensington, Dhaka"
"education","1044","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/primary-education","Perth, Bentley, Unknown, Brisbane, Adelaide, Doha"
"scholarship","1042","N/A","http://scholarships.curtin.edu.au/","Unknown, Perth, Bentley, Krasnoyarsk, Sydney, Eastwood"
"student services","1021","N/A","http://students.curtin.edu.au/","Perth, Unknown, Bentley, Melbourne, Lane Cove, Toowoomba"
"career","1018","N/A","http://unilife.curtin.edu.au/careers.htm","Perth, Bentley, Unknown, New Lambton, Kellyville, Daceyville"
"courses","1003","N/A","http://courses.curtin.edu.au/","Unknown, Perth, Bentley, Menai, Madras, New Delhi"
"wasm","1002","N/A","http://wasm.curtin.edu.au/index.cfm","Bentley, Perth, Unknown, Melbourne, Sydney, Mandurah"
"estudent","983","N/A","https://oasisapps.curtin.edu.au/help/estudent/index.cfm","Perth, Unknown, Bentley, Sydney, Shanghai, Kuala Selangor"
"occupational therapy","977","N/A","http://healthsciences.curtin.edu.au/teaching/otsw_home.cfm","Perth, Unknown, Bentley, Spearwood, Melbourne, Adelaide"
"housing","969","N/A","http://unilife.curtin.edu.au/housing_and_childcare.htm","Bentley, Unknown, Perth, Wilmington, Eastwood, Adelaide"
"exchange","944","N/A","http://studyabroad.curtin.edu.au/exchange-for-curtin-students/index.html","Perth, Unknown, Bentley, Central District, Adelaide, Suffield"
"room bookings","941","N/A","http://roombookings.curtin.edu.au/","Bentley, Perth, Adelaide, Unknown, Hobart, Ryde"
"summer school","939","N/A","http://business.curtin.edu.au/study/enrolments/summer_program_enrolments/index.cfm","Perth, Unknown, Bentley, Sydney, Adelaide, Edith"
"commerce","936","N/A","http://handbook.curtin.edu.au/courses/31/312428.html","Perth, Unknown, Bentley, Adelaide, Parramatta, Mandurah"
"smartrider","930","N/A","http://www.bookshop.curtin.edu.au/smartrider_transperth.htm","Perth, Unknown, Bentley, Eastwood, Sydney, Mandurah"
"business","928","N/A","http://business.curtin.edu.au/","Unknown, Perth, Bentley, Sydney, Riding, Yverdon"
"nutrition","906","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/nutrition","Perth, Unknown, Bentley, Gold Coast, Pymble, Brisbane"
"study abroad","897","N/A","http://studyabroad.curtin.edu.au/","Perth, Unknown, Bentley, Mumbai, Oslo, Melbourne"
"science","885","N/A","http://scieng.curtin.edu.au/","Perth, Unknown, Bentley, Edith, Newnham, Rowville"
"parking permit","876","N/A","http://properties.curtin.edu.au/parking/","Bentley, Perth, Unknown, Brisbane, Adelaide, Sydney"
"course handbook","872","N/A","http://handbook.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Yarramalong, Brisbane"
"phd","866","N/A","http://handbook.curtin.edu.au/research.html","Unknown, Perth, Bentley, London, Jiddah, Vennesla"
"careers","856","N/A","http://unilife.curtin.edu.au/careers.htm","Perth, Bentley, Unknown, Adelaide, Sydney, Seoul"
"graduations","840","N/A","http://graduations.curtin.edu.au/","Bentley, Perth, Unknown, Melbourne, Walliston, Sydney"
"accounting","837","N/A","http://business.curtin.edu.au/schools/accounting/","Perth, Unknown, Bentley, Sydney, Hommers?k, Singapore"
"fee","832","N/A","http://fees.curtin.edu.au/","Unknown, Perth, Bentley, Thornhill, Taiping, Canberra"
"vpn","831","N/A","https://cits.curtin.edu.au/staff/accounts/remote_access/index.cfm","Bentley, Perth, Unknown, Kenwick, Adelaide, Parkville"
"accomodation","819","N/A","http://unilife.curtin.edu.au/Kurrajong.htm","Unknown, Perth, Wenzhou, Adelaide, Bentley, Brisbane"
"medicine","798","N/A","http://donate.curtin.edu.au/support/health.cfm","Perth, Unknown, Bentley, Brisbane, Wongan Hills, Kansas City"
"calender","794","N/A","https://alumni.curtin.edu.au/events","Perth, Unknown, Bentley, Adelaide, Melbourne, Sydney"
"cbs","786","N/A","http://business.curtin.edu.au/","Bentley, Perth, Unknown, Byford, Melbourne, Townsville"
"curtin business school","782","N/A","http://business.curtin.edu.au/","Perth, Bentley, Unknown, Pyrmont, Byford, Mandurah"
"ilecture","769","N/A","http://otl.curtin.edu.au/learning_technologies/iLecture/iLecture.cfm","Bentley, Perth, Unknown, Sydney, Byford, Upper Coomera"
"security","761","N/A","http://properties.curtin.edu.au/security/","Bentley, Perth, Unknown, Adelaide, Hefei, Eastwood"
"midwifery","757","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/midwifery","Unknown, Perth, Bentley, Melbourne, Brisbane, Cottesloe"
"social work","737","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/social-work","Unknown, Perth, Revesby, Trondheim, Bentley, Adelaide"
"endnote","737","N/A","http://libguides.library.curtin.edu.au/endnote-x5","Perth, Bentley, Unknown, Sydney, Adelaide, Brisbane"
"email","732","N/A","http://otl.curtin.edu.au/learning_technologies/email.cfm","Unknown, Perth, Bentley, Melbourne, Brisbane, Sydney"
"international office","731","N/A","http://international.curtin.edu.au/","Bentley, Perth, Unknown, Melbourne, Kuala Lumpur, Sydney"
"marketing","729","N/A","http://business.curtin.edu.au/schools/marketing/","Perth, Bentley, Unknown, Ho Chi Minh City, Adelaide, Osborne"
"booklist","720","N/A","http://www.bookshop.curtin.edu.au/booklist_release_dates.htm","Perth, Unknown, Bentley, Eastwood, Subiaco, Maroochydore"
"project management","719","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/project-management","Unknown, Perth, Bentley, Melbourne, Clovelly, Brisbane"
"second hand bookshop","714","N/A","http://www.guild.curtin.edu.au/index.php/en/retail/secondhand-bookshop","Perth, Bentley, Unknown, Melbourne, Sydney, Kotara"
"application form","669","N/A","http://students.curtin.edu.au/administration/forms.cfm","Unknown, Bentley, Perth, Sydney, New Delhi, Cairo"
"tuition fees","654","N/A","http://fees.curtin.edu.au/","Unknown, Brisbane, Bentley, Sydney, Perth, Kuala Selangor"
"medical imaging","645","N/A","http://medicalimaging.curtin.edu.au/","Perth, Unknown, Sydney, Newcastle, Bentley, Riyadh"
"important dates","642","N/A","http://students.curtin.edu.au/administration/dates/index.cfm","Bentley, Perth, Unknown, Sydney, Burnaby, Adelaide"
"uni ready","635","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/surveying","Perth, Bentley, Unknown, Lane Cove, Nerang, Wentworth Falls"
"mining","628","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/mining","Perth, Unknown, Sydney, Chengdu, Brisbane, Beijing"
"smart rider","624","N/A","http://students.curtin.edu.au/administration/concessions.cfm","Perth, Bentley, Unknown, Adelaide, Eastwood, Brisbane"
"recognition of prior learning","621","N/A","http://students.curtin.edu.au/administration/enrolment/rpl.cfm","Perth, Unknown, Bentley, Edith, Belmont, Canberra"
"curtin stadium","614","N/A","http://recreation.curtin.edu.au/","Bentley, Perth, Unknown, Brisbane, Sydney, Melbourne"
"script","607","N/A","http://research.curtin.edu.au/guides/script.cfm","Bentley, Perth, Unknown, Adelaide, Medina, Parkville"
"policies","603","N/A","http://policies.curtin.edu.au/","Bentley, Perth, Unknown, Sydney, Chatswood, Salisbury"
"evaluate","585","N/A","http://evaluate.curtin.edu.au/","Bentley, Perth, Lismore, Unknown, Richmond, Adelaide"
"properties","582","N/A","http://properties.curtin.edu.au/","Bentley, Unknown, Perth, Kota Bharu, Parkville, Prahran"
"maps","579","N/A","http://properties.curtin.edu.au/maps/","Bentley, Perth, Unknown, Adelaide, Caversham, Melbourne"
"salary scales","576","N/A","https://hr.curtin.edu.au/salary_scales.cfm","Bentley, Perth, Unknown, Bundaberg, Osborne, Adelaide"
"curtin college","574","N/A","http://properties.curtin.edu.au/maps/index.cfm?zoomifyInitialZoom=70&amp;zoomifyInitialX=2192&amp;zoomifyInitialY=3530","Bentley, Unknown, Perth, Kuala Lumpur, Sydney, Donvale"
"honours","570","N/A","http://handbook.curtin.edu.au/courses/30/304157.html","Perth, Unknown, Bentley, Daceyville, Sydney, Eastwood"
"electives","562","N/A","http://handbook.curtin.edu.au/courses/31/312428.html","Perth, Unknown, Bentley, Chatswood, Maribyrnong, Minneapolis"
"chemical engineering","558","N/A","http://chem.eng.curtin.edu.au/","Unknown, Perth, Bentley, Kuching, Sydney, Dayboro"
"speech pathology","521","N/A","http://healthsciences.curtin.edu.au/teaching/psych_home.cfm","Perth, Unknown, Hyderabad, Dubai, Bentley, Dakabin"
"hr","519","N/A","https://hr.curtin.edu.au/hr_contacts.cfm","Bentley, Unknown, Perth, Melbourne, Herne Bay, Sydney"
"orientation week","519","N/A","http://orientation.curtin.edu.au/","Perth, Unknown, Bentley, Eastwood, Adelaide, Sydney"
"student guild","513","N/A","http://www.guild.curtin.edu.au/index.php/en/","Bentley, Perth, Unknown, Mayfield, Coolum Beach, Eastwood"
"counselling","506","N/A","http://unilife.curtin.edu.au/counselling_services.htm","Bentley, Perth, Unknown, Sharon, Adelaide, Slacks Creek"
"start","501","N/A","http://unilife.curtin.edu.au/health_wellbeing/start_student_advisors.htm","Bentley, Perth, Unknown, Kuala Lumpur, Eastwood, Revesby"
"bachelor of commerce","499","N/A","http://handbook.curtin.edu.au/courses/31/312428.html","Perth, Unknown, Petaling Jaya, Bentley, Warnbro, Dandenong"
"civil engineering","498","N/A","http://cme.curtin.edu.au/","Perth, Unknown, Daceyville, Bentley, Whitebridge, Colombo"
"secondhand bookshop","495","N/A","http://www.guild.curtin.edu.au/index.php/en/retail/secondhand-bookshop","Perth, Unknown, Bentley, Thirroul, Brisbane, Springfield"
"unit handbook","490","N/A","http://handbook.curtin.edu.au/","Perth, Bentley, Unknown, Sydney, Brisbane, Melbourne"
"parking on campus","489","N/A","http://properties.curtin.edu.au/parking/","Perth, Bentley, Unknown, Sydney, Belmont, Melbourne"
"student id","486","N/A","http://students.curtin.edu.au/administration/id_cards.cfm","Perth, Unknown, Bentley, Sydney, Mandurah, Melbourne"
"sexology","481","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/sexology","Unknown, Perth, Bentley, Adelaide, Brisbane, Redcliffe"
"health services","481","N/A","http://about.curtin.edu.au/services-on-campus.cfm","Bentley, Perth, Unknown, Yarramalong, Mandurah, Porirua"
"bachelor of science","465","N/A","http://scieng.curtin.edu.au/","Unknown, Perth, Sydney, Auckland, Norwood, Guangzhou"
"online courses","464","N/A","http://handbook.curtin.edu.au/","Unknown, Perth, Adelaide, Bentley, Sydney, Springfield"
"geophysics","459","N/A","http://geophysics.curtin.edu.au/","Unknown, Bentley, Perth, Dhahran, Yarramalong, Hanoi"
"wppr","456","N/A","https://hr.curtin.edu.au/wppr.cfm","Bentley, Perth, Adelaide, Box Hill, Medina, Unknown"
"referencing","448","N/A","http://libguides.library.curtin.edu.au/content.php?pid=141214","Perth, Unknown, Bentley, Canberra, Sydney, Melbourne"
"journalism","448","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/journalism","Perth, Unknown, Bentley, Melbourne, Central District, Sydney"
"assessment centre","440","N/A","http://otl.curtin.edu.au/","Unknown, Perth, Bentley, Adelaide, Spearwood, Upper Swan"
"unit","439","N/A","http://handbook.curtin.edu.au/","Perth, Bentley, Unknown, Eastwood, Sydney, Rockingham"
"construction management","428","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/construction","Perth, Unknown, Bentley, Brisbane, Melbourne, Istanbul"
"petroleum engineering","426","N/A","http://petroleum.curtin.edu.au/","Perth, Unknown, Bentley, Beijing, Belconnen, Qingdao"
"salary packaging","415","N/A","http://salpac.curtin.edu.au/","Bentley, Perth, Unknown, Adelaide, Subiaco, Sydney"
"learning centre","414","N/A","http://unilife.curtin.edu.au/learning_centre.htm","Bentley, Perth, Unknown, Eastwood, Greenmount, Adelaide"
"surveying","410","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/surveying","Perth, Unknown, Bentley, Peppermint Grove, Eastwood, Chengdu"
"oua","406","N/A","http://elearn.curtin.edu.au/oua/","Bentley, Unknown, Perth, Melbourne, Prahran, Adelaide"
"chemistry","403","N/A","http://chemistry.curtin.edu.au/","Bentley, Perth, Unknown, Hyderabad, Caloundra, Townsville"
"parking and traffic","403","N/A","http://properties.curtin.edu.au/parking/","Bentley, Perth, Unknown, Westmead, Adelaide, Whitebridge"
"semester dates","396","N/A","http://students.curtin.edu.au/administration/dates/index.cfm","Perth, Unknown, Bentley, Belmont, Bankstown, Mooloolaba"
"public health","389","N/A","http://healthsciences.curtin.edu.au/teaching/publichealth.cfm","Unknown, Bentley, Perth, Upwey, Melbourne, Brisbane"
"mechanical engineering","389","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/mechanical-engineering","Perth, Unknown, Bentley, Nedlands, Whitebridge, Sydney"
"ielts","380","N/A","http://news.curtin.edu.au/uncategorized/curtin-to-close-ielts-test-centre/","Unknown, Perth, Bentley, Central District, Mandurah, Rome"
"wifi","378","N/A","http://cits.curtin.edu.au/students/internet/wireless/index.cfm","Bentley, Perth, Unknown, Sydney, Brisbane, Cannington"
"master of accounting","376","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/Master-Accounting","Perth, Unknown, Bentley, Brisbane, Gold Coast, Melbourne"
"online handbook","373","N/A","http://handbook.curtin.edu.au/","Bentley, Perth, Unknown, Singapore, Sydney, Pyrmont"
"academic calender","367","N/A","http://healthsciences.curtin.edu.au/teaching/soph_students.cfm","Unknown, Perth, Bentley, Johor Bahru, Melbourne, Warrawong"
"international relations","366","N/A","http://humanities.curtin.edu.au/schools/SSAL/social_sciences/ir.cfm","Perth, Unknown, Bentley, New Lambton, Guangzhou, Brisbane"
"it","364","N/A","http://cits.curtin.edu.au/","Bentley, Unknown, Perth, Sydney, Plympton, Nugegoda"
"eba","364","N/A","http://ebastaff.curtin.edu.au/","Bentley, Perth, Unknown, Gold Coast, Osborne, Melbourne"
"student one","363","N/A","https://studentcentral.curtin.edu.au/studentone/","Bentley, Chatswood, Unknown, Perth"
"cellopark","363","N/A","http://properties.curtin.edu.au/payg/","Bentley, Perth, Unknown, Moonah, Spearwood, Belmont"
"yarra korczynskyj","362","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/Y.Korczynskyj","Perth, Bentley, Unknown, Newcastle, Adelaide, Warnbro"
"timetables","361","N/A","http://timetable.student.curtin.edu.au/jsp/criteriaEntry.jsf","Perth, Bentley, Unknown, Bayswater, Sydney, Adelaide"
"enrolment","360","N/A","http://students.curtin.edu.au/administration/enrolment/index.cfm","Unknown, Bentley, Perth, Kuala Lumpur, Eastwood, Brisbane"
"finance","354","N/A","http://handbook.curtin.edu.au/courses/31/312097.html","Bentley, Perth, Unknown, Brisbane, Sydney, Eastwood"
"business school","354","N/A","http://business.curtin.edu.au/","Perth, Unknown, Bentley, Adelaide, Eastwood, Jiddah"
"unipass","351","N/A","http://unilife.curtin.edu.au/learning_support/unipass_students.htm","Bentley, Perth, Unknown, Eastwood, Sydney, Mandurah"
"tuition","348","N/A","http://fees.curtin.edu.au/","Unknown, Perth, Quezon City, Guelph, Mississauga, Bentley"
"mining engineering","346","N/A","https://mining.curtin.edu.au/","Unknown, Bentley, Perth, Lilydale, Blacksburg, Bucaramanga"
"2013 timetable","345","N/A","http://business.curtin.edu.au/schools/cgsb/current_students/timetables.cfm","Bentley, Perth, Unknown, Singapore, Lilyfield, Tanunda"
"occupational health and safety","339","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/GCert-OHS","Unknown, Bentley, Perth, Nairobi, Acacia Ridge, Nedlands"
"unilife","339","N/A","http://unilife.curtin.edu.au/","Bentley, Perth, Unknown, Eastwood, Adelaide, Collie"
"distance education","338","N/A","http://blogs.curtin.edu.au/cel/168/online-classroom-for-remote-and-distance-education-students/","Unknown, Bentley, Perth, Oakleigh, Newcastle, Almaty"
"applied geology","337","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/geology","Perth, Unknown, Bentley, New Lambton, Southampton, Subiaco"
"short courses","333","N/A","http://healthsciences.curtin.edu.au/teaching/soph_short_courses.cfm","Unknown, Perth, Sydney, Toodyay, Dakabin, Brisbane"
"o week","333","N/A","http://unilife.curtin.edu.au/new_to_curtin/orientation.htm","Perth, Unknown, Bentley, Westmead, Eastwood, Belmont"
"health","332","N/A","http://healthsciences.curtin.edu.au/","Perth, Bentley, Unknown, Melbourne, Adelaide, Parkville"
"master","326","N/A","http://courses.curtin.edu.au/course_overview/postgraduate/Master-EngineeringMgmt","Perth, Eastwood, Unknown, Cluj-napoca, Prague, Sydney"
"peter newman","324","N/A","http://news.curtin.edu.au/news/curtin-profile-professor-peter-newman/","Bentley, Perth, Unknown, Sydney, Melbourne, Pyrmont"
"unit outlines - select unit","322","N/A","https://uob.curtin.edu.au/index.cfm","Perth, Unknown, Bentley, Lakeville, Brisbane, Surry Hills"
"english","320","N/A","http://humanities.curtin.edu.au/future_students/celc/","Unknown, Bentley, Perth, Malvern, Sydney, Loughborough"
"diploma","318","N/A","http://handbook.curtin.edu.au/","Unknown, Perth, Goulburn, Ipoh, Sydney, Brooklyn"
"curtin map","318","N/A","http://properties.curtin.edu.au/maps/","Bentley, Perth, Unknown, Sydney, Aitkenvale, Edith"
"online","311","N/A","http://courses.curtin.edu.au/course_overview/curtin-online/","Unknown, Perth, Doha, Bentley, Adelaide, Brisbane"
"faculty","308","N/A","http://scieng.curtin.edu.au/","Unknown, Perth, Bentley, Seoul, Beijing, Scarborough"
"kate wright","307","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/Kate.Wright","Bentley, Perth, Parkville, Unknown, Singapore, Townsville"
"stadium","306","N/A","http://recreation.curtin.edu.au/","Bentley, Perth, Unknown, Adelaide, Corsicana, Merrylands"
"вапвпва","306","N/A","N/A",""
"design","301","N/A","http://humanities.curtin.edu.au/schools/DA/","Unknown, Perth, Aitkenvale, Brisbane, Gurgaon, Doncaster"
"interior architecture","297","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/interior-architecture","Perth, Unknown, Bentley, Kuala Lumpur, Klang, Cannington"
"brenda lee","297","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/B.Lee","Bentley, Perth, Edith, Unknown, Melbourne, Sydney"
"teaching","296","N/A","http://otl.curtin.edu.au/","Perth, Unknown, Sydney, Bentley, Brisbane, Belmont"
"jeanette hacket","295","N/A","http://oasisapps.curtin.edu.au/staff/profile/view/vc","Bentley, Perth, Unknown, Canberra, Melbourne, Quezon"
"access blackboard","294","N/A","http://blogs.curtin.edu.au/learning-technologies-support/blackboard-faqs/missing-menu/","Perth, Unknown, Bentley, Sydney, Melbourne, Hoppers Crossing"
"financial services","289","N/A","http://finance.curtin.edu.au/","Bentley, Unknown, Sydney, Eastwood, Perth"
"handbook 2013","289","N/A","http://handbook.curtin.edu.au/","Perth, Bentley, Unknown, New York, Rena, Revesby"
"apa","289","N/A","http://libguides.library.curtin.edu.au/content.php?pid=141214&amp;sid=1335391","Unknown, Perth, Bentley, Melbourne, Brisbane, Sydney"
"student card","288","N/A","http://students.curtin.edu.au/administration/id_cards.cfm","Perth, Unknown, Bentley, Sydney, Melbourne, Eastwood"
"school of education","287","N/A","http://humanities.curtin.edu.au/schools/EDU/education/","Perth, Unknown, Bentley, Melbourne, Quakers Hill, Dalkeith"
"common ground","285","N/A","http://about.curtin.edu.au/services-on-campus.cfm","Bentley, Perth, Parkville, Unknown, Roleystone"
"procurement","282","N/A","https://cits.curtin.edu.au/staff/ict/index.cfm","Bentley, Perth, Quezon City, Parkville, Ryde, Waterford"
"ilectures","282","N/A","http://otl.curtin.edu.au/learning_technologies/iLecture/iLecture.cfm","Bentley, Unknown, Perth, Briar Hill, Canberra, Padstow"
"gis","276","N/A","http://gis.curtin.edu.au/","Perth, Unknown, Melbourne, Bentley, Greenwich, Islamabad"
"sport","273","N/A","http://recreation.curtin.edu.au/","Perth, Unknown, Bentley, Bandar Seri Begawan, Mandurah, Cardiff"
"published unit outlines","273","N/A","http://otl.curtin.edu.au/course_quality/unit_outline_builder/search_published_UO.cfm","Bayswater, Perth, Bentley, Sydney, Unknown, Rockingham"
"google","273","N/A","http://libguides.library.curtin.edu.au/google-and-google-scholar","Bentley, Unknown, Perth, Melbourne, Milazzo"
"school of nursing","272","N/A","http://healthsciences.curtin.edu.au/teaching/nursing-midwifery_home.cfm","Perth, Unknown, Bentley, Seoul, Singapore, Sydney"
"concur","271","N/A","http://finance.curtin.edu.au/concur/index.cfm","Bentley, Perth, Unknown, Parkville, Castlecrag"
"management","271","N/A","http://business.curtin.edu.au/","Unknown, Perth, Bentley, Dalkeith, Moonah, Beijing"
"academic transcript","270","N/A","http://students.curtin.edu.au/administration/documents_request.cfm","Unknown, Perth, Bentley, Sydney, Seoul, Incheon"
"health and safety","269","N/A","http://osh.curtin.edu.au/","Bentley, Unknown, Perth, Parkville, Rowville, Edith"
"photography","268","N/A","http://courses.curtin.edu.au/course_overview/undergraduate/photography-communication","Perth, Unknown, Bentley, Adelaide, Shenton Park, Litchfield Park"
